Membership No  Date Joined  Active  
    26860      2016-8-10    yes   
    69539      2017-1-10    yes   
    47115      2016-10-2    yes   
    79744      2019-6-19    yes   
    13160      2019-4-12    no    
    75323      2020-8-21    yes   
    32023      2015-6-16    no    
    88466      2020-11-4    no    
    77407      2017-1-3     no    
    36326      2018-8-19    yes   
    20249      2015-9-18    no    
    38518      2018-4-4     yes   
    94974      2020-2-17    yes   
    68669      2020-2-15    no    
    10074      2020-12-4    yes   
    89931      2017-12-13   no    
    61032      2017-1-23    no    
    59675      2018-1-21    yes   
    92939      2017-2-22    yes   
    64186      2015-3-18    no    
